train,valid,phys,data
46.86239315668742,24.348771794637045,49.62333693504333,31.21703745126724
27.325571266810098,15.331586201985678,28.437495024998984,21.024664822220803
20.780373493830364,14.42667458852132,21.56205845673879,16.35082094570001
14.793743932247162,9.355018250147502,15.079642391204834,13.173648819327354
17.325852008660636,8.769708855946858,18.283821264902752,11.89735631843408
15.338402730226516,13.597192923227945,16.10629479487737,10.987010702987511
13.04852169752121,10.115150785446167,13.68278812567393,9.45434268116951
11.733195575078328,21.546065902709962,12.325576575597127,8.37636859814326
13.034947351614635,10.809854094187418,13.908108981450399,8.087028645475705
11.685931140184403,11.435521984100342,12.336969361702602,7.996712516744932
12.613146209716797,6.951915756861369,13.596676762898763,7.0398037006457646
11.28611082235972,16.241592788696288,12.10136131842931,6.666355706254641
12.103646465142567,6.9330365816752115,12.99016114473343,7.080061505983273
10.697610116004943,7.077490790685018,11.474668967723847,6.294275039434433
9.596600186824798,5.811800646781921,10.258281083901723,5.8470727510750296
11.0415278673172,6.583746369679769,11.88484099706014,6.262751913070678
9.52589054107666,6.602125883102417,10.246728503704071,5.441140003005663
10.241298512617748,8.27406579653422,11.101439487934112,5.367164991796017
9.98934013446172,5.294981630643209,10.835474654038746,5.194576118141413
9.91957151889801,6.193010536829631,10.835096267859141,4.731595475474993
7.671819889545441,10.267391459147136,8.293590599298478,4.148451255013545
9.257868496576945,6.812177260716756,10.156058832009633,4.168121508260568
10.296947725613911,10.670859813690186,11.384011181195577,4.136919336269299
13.13159535129865,6.461957629521688,14.611167975266774,4.747347975522279
8.253327226638794,5.577688058217366,9.027071718374888,3.8687729189793267
7.607966967423757,9.753616015116373,8.337725349267323,3.4726674186686677
8.990342831611633,6.971415074666341,9.999364340305329,3.272552366554737
8.020635930697123,4.969249478975931,8.910754370689393,2.9766293027748665
8.271992220481236,9.321612644195557,9.15696374575297,3.2571518508096537
7.459910051027934,7.081989272435506,8.256293841203053,2.9470671195536853
7.569921714067459,5.025389734903971,8.426913289229075,2.71363460496068
8.338426121075948,6.585208749771118,9.401621174812316,2.3136525603632134
8.556352384885152,4.322902345657349,9.656484194596608,2.3222704636553924
7.244957812627157,8.64818131128947,8.116415983438491,2.3066938509543737
6.046327424049378,7.816854254404704,6.77857474287351,1.8969248566776513
7.805891245603561,5.867367267608643,8.848086977005005,1.900113883242011
6.303697375456492,5.527941878636678,7.0918801108996075,1.8373278537144264
6.108267430464426,3.8886839628219603,6.846949827671051,1.9223993577063083
6.042961368958156,4.319387269020081,6.813161675135294,1.6784916008512178
6.724506453673045,4.427909326553345,7.619338923692704,1.653787700459361
5.3268126527468365,7.462802441914876,6.037929362058639,1.297150230097274
5.600335029760997,7.479381402333577,6.335686669747035,1.4333408725758394
6.179771516720454,5.090384380022685,7.0425905108451845,1.2904626708477736
5.5057404438654585,3.7205732663472495,6.267253981033961,1.190496090054512
5.971921316782633,3.9409905036290485,6.828978778918584,1.1152616227666536
4.942714911699295,3.843039353688558,5.623089269797007,1.0872594898566603
5.641617876291275,3.4446396350860597,6.465886513392131,0.9707614107678334
6.122135450442632,4.047390445073446,7.034685710072518,0.9510162967567642
6.386604338884354,4.523705474535624,7.331718186537425,1.0309579010431966
6.011914912859599,4.2389379978179935,6.899547080198924,0.9819982870171468
4.705831820766131,5.097234916687012,5.393149764339129,0.8110295087099075
5.263586290677389,3.8668689807256063,6.042728930711746,0.8484436762829621
4.989426324764888,4.210263299942016,5.7281239608923595,0.8034718907127778
6.486152315139771,3.8848775148391725,7.494005153576533,0.7749851386994123
5.772835477193197,5.223561461766561,6.662643394867579,0.730589630951484
4.93376922806104,8.271817874908447,5.674160919586817,0.7382153218612075
4.971067255735397,3.497610322634379,5.722453254461288,0.7132121872156858
4.59735870162646,3.1066582798957825,5.289254432916641,0.6766154449433088
4.20362715224425,4.222459491093954,4.834923148155212,0.6262823941806952
5.18653362194697,6.352634239196777,5.99214146733284,0.621421525751551
5.685152886311213,9.725466537475587,6.537550185124079,0.854900677750508
9.280190459887187,4.149764204025269,10.724545180797577,1.0955117403219143
5.291661697626114,6.103022034962972,6.078485067685445,0.8329949403802553
4.352580001950264,3.2843717972437543,5.014607359965642,0.6010908516123891
5.089704040686289,3.196597131093343,5.877507305145263,0.6254843023916086
5.024800612529119,4.832714653015136,5.817612636089325,0.5321981479724248
5.314110867182413,3.813436198234558,6.154418989022573,0.5523637038345138
6.355811228354772,3.9392900149027508,7.347843503952026,0.7342937231063843
5.43492892185847,3.5566707054773965,6.268650345007578,0.7105065728227298
4.2959452400604885,4.476880264282227,4.958153790235519,0.5434291766956448
5.403256352742513,7.552408949534098,6.2487724959850315,0.6119969315826893
4.327756386995316,3.55417799949646,4.9945312937100725,0.549364393328627
4.636619899670283,6.071139971415202,5.343623503049215,0.6302652401228745
5.22129187186559,4.719199045499166,6.052316669623057,0.5121503031502167
