DEPTH:1,Rv,Rh,Csh_pred,Rss_pred,fun,nfev,jac_norm,Rv_sim,Rh_sim
9720.0,3.8097,0.8607,0.8936683083521756,12.186515061859787,0.00012307630519375673,138,0.5848305207860791,3.8097017132139133,0.860699448275839
9720.25,3.8877,0.8783,0.8737470932368965,11.325261881253216,0.00011431537452485685,135,2.6982040633989803,3.8876978056369826,0.8782997125704867
9720.5,3.9521,0.8921,0.8586614771576878,10.872380813004566,0.00010961923940051999,123,2.099507420408579,3.9521009791337387,0.8921003949499924
9720.75,3.9985,0.9017,0.8484441472720675,10.635198420238098,0.0001074132916984152,135,1.2354435306761127,3.9984999517862714,0.9016993974465148
9721.0,4.0274,0.9076,0.8422720958504666,10.512353379410273,0.00010624745134849775,132,2.2660274357296304,4.0274028718410095,0.9076001700134559
9721.25,4.0429,0.9109,0.8388495649716923,10.445016558367406,0.00010559886694616953,132,2.310512589069895,4.042902788524156,0.9109002988410191
9721.5,4.049,0.9125,0.8371873893298681,10.404566944736402,0.00010523274480875282,132,2.2984209893281613,4.04900283334961,0.9125003589869036
9721.75,4.0484,0.9134,0.83622141947974,10.356114525852881,0.00010443933476444606,135,1.6210411405892347,4.048400589745938,0.9134004532522578
9722.0,4.0416,0.9141,0.8354186455551031,10.2780198457094,0.00010394707848167743,132,1.4452822363598605,4.041603077164888,0.914099771575181
9722.25,4.0272,0.9151,0.8342286934493063,10.137527071002337,0.00010271332758649835,129,1.3639227142664714,4.027196422425983,0.9151003199612149
9722.5,4.0035,0.9165,0.8325264121622705,9.921596527866136,0.00010015038525415343,138,2.0835588715013476,4.003502165012568,0.916500120943667
9722.75,3.9696,0.9185,0.8300777666269072,9.619662692386276,9.757366187845345e-05,132,1.004674638717641,3.9696033265075847,0.9184995684801143
9723.0,3.9273,0.9212,0.8267730580757156,9.245620233666536,9.383378070801853e-05,126,2.1051439713346376,3.9273031316383302,0.9212004625113048
9723.25,3.8808,0.9241,0.8231721331726902,8.851650334679908,8.95502802267668e-05,135,0.36466468030741184,3.880801657197469,0.9240996176980452
9723.5,3.8364,0.9272,0.8193332630439957,8.4775787497987,8.588186865020933e-05,138,1.7695974416431752,3.836400958956454,0.9272005390898702
9723.75,3.8013,0.9301,0.8157869523707142,8.177989763603096,8.287539150542788e-05,132,0.34782664633832894,3.8013011148532483,0.9300994944284787
9724.0,3.783,0.933,0.8124506537113916,7.984987766894959,8.114300534698188e-05,132,1.7482021553074476,3.7830029246938297,0.9330001682961422
9724.25,3.7907,0.9362,0.8091819733212363,7.9367173530324955,8.058420290800263e-05,138,1.926068310509335,3.7906976345653995,0.93619966927829
9724.5,3.8374,0.9409,0.804934114794743,8.064570086144625,8.186329935116645e-05,150,0.43306092254835526,3.8374021675712493,0.9408995829401611
9724.75,3.9422,0.9483,0.7987351038251443,8.42350438827036,8.554426380355647e-05,138,2.0406467966565494,3.9421975831938063,0.9482994800766017
9725.0,4.1302,0.9599,0.7893712502702057,9.066642003953978,9.20158871033029e-05,129,0.8700879431502635,4.1301967965505515,0.9599004246628248
9725.25,4.4313,0.9768,0.7761293020807499,10.04173782033517,0.0001014080196438004,126,1.4393850473309737,4.431302580913712,0.9767998476829443
9725.5,4.8747,0.9989,0.7594800901043774,11.384849198167139,0.0001147913150274049,123,1.6443879856147063,4.874700396782025,0.998900585274225
9725.75,5.4781,1.025,0.7407523944492299,13.093149909930496,0.00013203901434801393,123,2.094891223156131,5.478104248852446,1.0249999659794116
9726.0,6.2288,1.0523,0.722236126576131,15.110488994017965,0.00015189401039043116,132,2.4845358577361973,6.228798176365828,1.052299526092448
9726.25,7.0629,1.0775,0.7060683110136504,17.271810587059278,0.00017348321290398805,132,2.7456338781042446,7.062902616588046,1.0775004177422085
9726.5,7.8666,1.0981,0.6934540908561029,19.298643643293424,0.0001940985509524203,132,2.586467300537351,7.866606618455692,1.098100093876627
9726.75,8.5219,1.1127,0.6848321230035911,20.92685410676764,0.00021007426474765412,135,2.6219511135438727,8.52190494305264,1.112700041783624
9727.0,8.9688,1.1219,0.6795134270552843,22.02065790899945,0.00022102515693962085,144,3.0259073323747305,8.968796457549699,1.1218995159743024
9727.25,9.2242,1.127,0.6765943990493787,22.63703533044678,0.00022705412465361005,150,1.760493862166956,9.22420405930949,1.1269998028702026
9727.5,9.3454,1.1295,0.6751617241056528,22.922680923189052,0.0002301140841320955,150,2.5667838365982556,9.345394079874177,1.1295000492636846
9727.75,9.3849,1.1308,0.6743813593668585,22.99580215922631,0.0002306377662882955,150,1.0109188586890354,9.384896603254905,1.1308003395621324
9728.0,9.3677,1.1318,0.6737081142570951,22.901436227480453,0.00022995294794145795,144,2.942989044389594,9.367693738290683,1.131799842590292
9728.25,9.287,1.1335,0.6724815277434787,22.57983820597748,0.00022655007740039998,144,2.9959155484852733,9.287004650563581,1.1335002496595623
9728.5,9.1099,1.1367,0.6701254914997025,21.90179361835396,0.0002199335737010467,126,2.441069642066511,9.109906412718129,1.136700018258539
9728.75,8.7933,1.1426,0.6657673580064042,20.705646671249895,0.00020805778705408208,129,2.68616295135591,8.79330656918977,1.1426002124243642
9729.0,8.3133,1.1523,0.6585854605718334,18.92330949658344,0.0001902268466417283,138,2.5816642023516794,8.313293896821254,1.152299810391801
9729.25,7.6959,1.1663,0.6481579349483007,16.691115791162318,0.00016779639266788739,132,1.7835309961406698,7.695904918989148,1.1662998763062
9729.5,7.0174,1.1847,0.6343755722530818,14.312241691534783,0.00014391283775503857,147,2.3718822140313254,7.017403662990908,1.1847002154817547
