DEPTH:1,CALI,AT10,AT30,AT60,AT90,GR,Rv,Rh,Csh_pred,Rss_pred,Rvsh,Rhsh,Rv_sim,Rh_sim,Rv_err,Rh_err
10041.25,12.9642,0.8389,0.5977,0.5514,0.5247,51.6793,0.8234,0.478,0.8192766,-1.505167,0.775,0.775,2.0326061,1.0671648,146.85524956010804,123.25622985552545
10041.5,12.8933,0.8387,0.5872,0.5468,0.5224,52.2981,0.7906,0.4815,0.81519884,-1.4696512,0.775,0.775,2.021561,1.0797683,155.69958352692785,124.25094497538058
10041.75,12.9096,0.7957,0.5628,0.5253,0.5028,52.7702,0.7479,0.4854,0.8097652,-1.4232583,0.775,0.775,2.0071163,1.0974576,168.36693645527788,126.09345845150564
10042.0,12.926,0.7527,0.5384,0.5039,0.4832,53.2423,0.6992,0.4899,0.8034215,-1.370359,0.775,0.775,1.9906415,1.1195418,184.70272807834894,128.52454873634179
10042.25,12.8861,0.7213,0.5268,0.4947,0.4772,52.3648,0.6506,0.4949,0.79694825,-1.3176901,0.775,0.775,1.974256,1.1438721,203.45158909710602,131.13197450759216
10042.5,12.8461,0.6898,0.5153,0.4856,0.4713,51.4874,0.6076,0.4996,0.7910981,-1.2711565,0.775,0.775,1.9598119,1.1676354,222.54969155498046,133.71405941281344
10042.75,12.6789,0.6682,0.5087,0.4767,0.4647,49.5423,0.5731,0.5031,0.7863068,-1.2337563,0.775,0.775,1.9482356,1.1885179,239.94689076759283,136.23890441730754
10043.0,12.5116,0.6466,0.5022,0.4678,0.4582,47.5972,0.5478,0.5043,0.782699,-1.206002,0.775,0.775,1.9396667,1.2051804,254.08301351713675,138.98084603815877
10043.25,12.4643,0.6416,0.4976,0.464,0.4553,47.0761,0.5302,0.5023,0.7800719,-1.1860144,0.775,0.775,1.9335045,1.2178638,264.67454964959006,142.4574553337606
10043.5,12.4171,0.6366,0.493,0.4601,0.4525,46.5551,0.5183,0.4965,0.7781386,-1.1714332,0.775,0.775,1.929008,1.227511,272.1798199979859,147.23283954017234
10043.75,12.3662,0.6332,0.4893,0.4537,0.4468,44.1752,0.5097,0.4871,0.776564,-1.1596464,0.775,0.775,1.9253677,1.2355714,277.7452840836861,153.6586705871344
10044.0,12.3153,0.6298,0.4857,0.4473,0.441,41.7952,0.503,0.4749,0.77517205,-1.1492938,0.775,0.775,1.9221656,1.2428545,282.1402847411381,161.70867045168177
10044.25,12.3226,0.6328,0.4847,0.4429,0.4371,41.6851,0.4971,0.4615,0.7738539,-1.1395401,0.775,0.775,1.9191484,1.2498947,286.06888857964077,170.83309603409026
10044.5,12.3299,0.6357,0.4837,0.4385,0.4331,41.575,0.492,0.4487,0.7726698,-1.130817,0.775,0.775,1.9164512,1.2563422,289.52260482602003,179.9960268827013
10044.75,12.3808,0.6433,0.4826,0.4366,0.4288,39.4825,0.4879,0.4378,0.7716946,-1.123658,0.775,0.775,1.9142396,1.2617428,292.34262041489495,188.20073784296235
10045.0,12.4317,0.6509,0.4816,0.4348,0.4246,37.39,0.4849,0.4296,0.77097166,-1.118366,0.775,0.775,1.9126056,1.2658007,294.4330054181068,194.6463488111727
10045.25,12.4935,0.6551,0.4794,0.4334,0.4204,38.0782,0.4834,0.4242,0.7705664,-1.1154082,0.775,0.775,1.9116912,1.2680949,295.4677676483773,198.93797672564887
10045.5,12.5553,0.6592,0.4773,0.432,0.4161,38.7665,0.484,0.421,0.77055055,-1.1153055,0.775,0.775,1.9116524,1.2681811,294.9695135936264,201.23066165951252
10045.75,12.6243,0.6596,0.4831,0.4372,0.418,38.0372,0.4879,0.4199,0.7711013,-1.1193645,0.775,0.775,1.9128869,1.2650548,292.06535314335935,201.27526124507708
10046.0,12.6934,0.6601,0.4888,0.4424,0.4199,37.3078,0.497,0.4203,0.77248085,-1.1295469,0.775,0.775,1.9159951,1.2573487,285.5120967811263,199.15504559941897
10046.25,12.668,0.6594,0.4965,0.4504,0.4247,39.0699,0.5148,0.4224,0.77520543,-1.14978,0.775,0.775,1.9221885,1.2426155,273.3854934793159,194.17979672099605
10046.5,12.6425,0.6588,0.5043,0.4584,0.4295,40.832,0.5457,0.4263,0.77988803,-1.1849649,0.775,0.775,1.9330001,1.2186902,254.22394864175138,185.87618037453566
10046.75,12.5989,0.6709,0.5177,0.472,0.4388,43.2549,0.5958,0.4322,0.78731734,-1.2419106,0.775,0.775,1.9505907,1.1839378,227.39018625603217,173.93285238538724
10047.0,12.5553,0.6831,0.5312,0.4856,0.4481,45.6778,0.6718,0.4399,0.79819685,-1.3279955,0.775,0.775,1.977334,1.1389902,194.33373362934992,158.9202463748808
10047.25,12.5226,0.6923,0.5466,0.5023,0.4601,49.7,0.7802,0.4491,0.8129352,-1.4503523,0.775,0.775,2.0154767,1.0869923,158.32821118223518,142.0379122231007
10047.5,12.4898,0.7016,0.562,0.5191,0.4721,53.7222,0.9228,0.4586,0.83097315,-1.6106881,0.775,0.775,2.065278,1.033824,123.80559745163539,125.43043327081998
10047.75,12.4753,0.7136,0.5732,0.5353,0.4797,54.8956,1.089,0.4676,0.8501664,-1.797062,0.775,0.775,2.1222577,0.9865709,94.88133236943746,110.9860767147498
10048.0,12.4607,0.7257,0.5844,0.5515,0.4873,56.069,1.247,0.4754,0.86669624,-1.9740593,0.775,0.775,2.174867,0.951665,74.40793221725303,100.18194872238679
10048.25,12.4262,0.7367,0.5857,0.558,0.4946,56.8353,1.3484,0.4818,0.87650025,-2.087986,0.775,0.775,2.2077296,0.9329923,63.729574163318624,93.64721451423236
10048.5,12.3917,0.7478,0.587,0.5645,0.502,57.6016,1.3563,0.4872,0.8773367,-2.0980375,0.775,0.775,2.2105956,0.9314615,62.98721578983767,91.18668165895934
10048.75,12.3535,0.7611,0.5999,0.5769,0.5146,58.5399,1.2727,0.492,0.8695614,-2.0065267,0.775,0.775,2.1843476,0.94606704,71.63099155709274,92.29004780451457
10049.0,12.3153,0.7744,0.6129,0.5892,0.5272,59.4783,1.1346,0.4965,0.8557227,-1.854537,0.775,0.775,2.1395802,0.9743156,88.5757315165148,96.23677416030255
10049.25,12.3099,0.7736,0.6157,0.5949,0.547,62.4779,0.9845,0.5004,0.83929497,-1.6891022,0.775,0.775,2.0894895,1.0123312,112.23864499659268,102.30440594118946
10049.5,12.3044,0.7728,0.6185,0.6005,0.5668,65.4776,0.8506,0.5035,0.8233822,-1.5414319,0.775,0.775,2.0439298,1.055021,140.29271282534194,109.53744738672555
10049.75,12.368,0.7537,0.6097,0.5896,0.5676,66.5285,0.7443,0.5053,0.80986863,-1.4240415,0.775,0.775,2.0074053,1.097121,169.70378625109424,117.1226994438783
10050.0,12.4317,0.7345,0.6008,0.5786,0.5685,67.5793,0.6661,0.5058,0.79940665,-1.3374848,0.775,0.775,1.9804404,1.1344113,197.318777689399,124.28061190024813
10050.25,12.4553,0.6875,0.5596,0.5421,0.5421,66.9275,0.6116,0.5049,0.7918253,-1.2768613,0.775,0.775,1.9615943,1.1645867,220.7315799845364,130.65689507747175
10050.5,12.4789,0.6404,0.5185,0.5056,0.5157,66.2756,0.5751,0.5027,0.78658056,-1.2358773,0.775,0.775,1.9488908,1.1872873,238.8785959388708,136.18208287794735
10050.75,12.4952,0.5913,0.4869,0.4701,0.4882,63.0095,0.5503,0.4985,0.782876,-1.2073817,0.775,0.775,1.9400787,1.2043374,252.5492886337566,141.5922484402671
10051.0,12.5116,0.5421,0.4553,0.4345,0.4606,59.7433,0.5313,0.4908,0.7798619,-1.1844753,0.775,0.775,1.9330034,1.2188869,263.82522597367677,148.3469544141003
10051.25,12.5225,0.5074,0.4366,0.419,0.4441,55.7716,0.5128,0.4777,0.77671593,-1.1608278,0.775,0.775,1.9257076,1.2347734,275.52799895847454,158.48302228295555
10051.5,12.5334,0.4726,0.4178,0.4035,0.4276,51.7998,0.491,0.458,0.772827,-1.1319394,0.775,0.775,1.9168164,1.2554888,290.39029608918787,174.1241819473333
10051.75,12.5825,0.4494,0.4009,0.3866,0.4094,46.954,0.4644,0.432,0.7679518,-1.0962198,0.775,0.775,1.9058725,1.283326,310.3945874633921,197.06621059664974
10052.0,12.6316,0.4263,0.384,0.3697,0.3912,42.1082,0.4348,0.4025,0.7624222,-1.0563352,0.775,0.775,1.8937318,1.3177608,335.54089983998904,227.39399382786715
10052.25,12.6044,0.412,0.3713,0.3577,0.3796,39.9347,0.4053,0.3733,0.75682855,-1.0166335,0.775,0.775,1.8817425,1.3561894,364.28385823266524,263.29744713510166
10052.5,12.5771,0.3977,0.3587,0.3456,0.368,37.7612,0.3793,0.3476,0.7518262,-0.9816506,0.775,0.775,1.8712673,1.3941448,393.3475662340063,301.0773226361555
10052.75,12.617,0.3959,0.3534,0.3409,0.3596,35.5716,0.3586,0.3274,0.7478039,-0.9538615,0.775,0.775,1.8630123,1.4275243,419.52379080947395,336.0184264605411
10053.0,12.657,0.3941,0.3482,0.3363,0.3513,33.382,0.3437,0.3129,0.7448835,-0.9338684,0.775,0.775,1.8571119,1.4535782,440.32933687726734,364.5504102649
10053.25,12.6933,0.3917,0.343,0.331,0.3411,33.1156,0.3339,0.3033,0.74294823,-0.9207035,0.775,0.775,1.8532449,1.4717736,455.0299193481373,385.2534205143969
10053.5,12.7297,0.3893,0.3377,0.3257,0.3309,32.8492,0.3281,0.2977,0.74180144,-0.91293156,0.775,0.775,1.8509697,1.4829323,464.1480256638415,398.1297713059645
10053.75,12.7261,0.3862,0.3357,0.3227,0.3265,31.405,0.3249,0.2947,0.7411704,-0.90866506,0.775,0.775,1.8497229,1.4891968,469.3206716662519,405.32635810782153
10054.0,12.7225,0.3832,0.3337,0.3197,0.3221,29.9607,0.3233,0.2932,0.74085456,-0.90653193,0.775,0.775,1.8491004,1.4923664,471.9456700691675,408.99264431910484
10054.25,12.7007,0.3891,0.3331,0.319,0.3201,30.5604,0.3224,0.2927,0.7406892,-0.90541434,0.775,0.775,1.8487751,1.494036,473.4414231984254,410.43251084515697
10054.5,12.6788,0.395,0.3325,0.3183,0.318,31.1602,0.3216,0.2927,0.7405582,-0.90452754,0.775,0.775,1.8485179,1.4953645,474.78790259479877,410.88641844066206
10054.75,12.6171,0.4041,0.3363,0.3227,0.3192,32.0323,0.3206,0.2929,0.7404016,-0.90346724,0.775,0.775,1.8482112,1.4969584,476.48508086177753,411.081725837184
10055.0,12.5553,0.4132,0.3401,0.3271,0.3203,32.9044,0.3191,0.2935,0.74017745,-0.9019486,0.775,0.775,1.8477726,1.499251,479.057536279098,410.8180606588595
10055.25,12.5662,0.4232,0.3444,0.3296,0.3238,31.6704,0.317,0.2943,0.73986197,-0.8998129,0.775,0.775,1.847156,1.502498,482.6990687132634,410.5328000892071
10055.5,12.5771,0.4332,0.3488,0.332,0.3273,30.4364,0.3143,0.2953,0.739455,-0.89706004,0.775,0.775,1.8463625,1.5067225,487.4522658544401,410.23449043560703
10055.75,12.5335,0.4525,0.3602,0.3415,0.338,29.5786,0.3114,0.2965,0.73902196,-0.89413357,0.775,0.775,1.8455194,1.5112622,492.65235179344967,409.7005660779159
