DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err
8808.75,4.3821,1.3579,1.1364,1.0963,1.0868,37.9365,1.583,1.1353,2.78,0.58,AkerBP,2.0,0.3047588,1.2775059,1.735404140949249,0.9348731546663277,9.62755154448826,17.654086614434274
8809.0,4.381,1.5089,1.2365,1.1806,1.1243,38.5672,1.5586,1.0902,2.78,0.58,AkerBP,2.0,0.3150432,1.2016251,1.6988814139366148,0.8983084842639514,9.00047567923873,17.60149658191604
8809.25,4.3799,1.5249,1.3349,1.2435,1.2193,37.0096,1.5524,1.0782,2.78,0.58,AkerBP,2.0,0.3177043,1.181245,1.6891762572526932,0.8885940403076064,8.810632391953952,17.585416406269122
8809.5,4.3788,1.532,1.4027,1.4043,1.3943,35.4519,1.5576,1.0787,2.78,0.58,AkerBP,2.0,0.3179031,1.182245,1.6901762855052946,0.8888420009541136,8.51157457019097,17.6006302999802
8809.75,4.3777,1.6527,1.3662,1.3245,1.3847,32.5715,1.5953,1.0936,2.78,0.58,AkerBP,2.0,0.3161044,1.2080728,1.704965922832489,0.8999990714016992,6.87431347285708,17.70308418053225
8810.0,4.3766,1.6815,1.3611,1.3382,1.3401,29.6912,1.743,1.15,2.78,0.58,AkerBP,2.0,0.30592328,1.2995883,1.7524807441234587,0.9420380538332559,0.5439325372035893,18.083647492760353
8810.25,4.3755,1.7276,1.332,1.2808,1.3099,27.8334,2.1678,1.2909,2.78,0.58,AkerBP,2.0,0.2812254,1.5830157,1.9196380978822707,1.0650473742507587,11.447638256191967,17.495749147822547
8810.5,4.3744,2.2358,1.4448,1.4468,1.358,25.9756,3.1552,1.532,2.78,0.58,AkerBP,2.0,0.28171283,2.95768,2.9076252257823945,1.3725579016139775,7.8465635844829285,10.407447675327841
8810.75,4.3733,2.22,1.6518,1.7624,1.5034,26.6602,4.8898,1.7927,2.78,0.58,AkerBP,2.0,0.29330543,5.5097504,4.70909993827343,1.5773827008569148,3.6954489289249124,12.010782570596595
8811.0,4.3722,2.5338,1.8659,1.9295,1.6983,27.3448,6.606,1.9498,2.78,0.58,AkerBP,2.0,0.27628136,7.4340515,6.148223934173584,1.743074281319237,6.9297012689436315,10.602406332996356
8811.25,4.3711,2.8883,2.0648,2.2843,1.8927,27.9383,7.356,2.0034,2.78,0.58,AkerBP,2.0,0.27025545,8.341047,6.838144094944,1.8068609245917215,7.039911705492114,9.810276300702732
8811.5,4.37,3.3996,2.2131,2.3068,2.2997,28.5318,7.5732,2.0329,2.78,0.58,AkerBP,2.0,0.26649138,8.584737,7.0378240424394605,1.8351612556166919,7.069349252106632,9.72692923327799
8811.75,4.3689,3.7863,2.4854,2.7436,2.7846,27.5515,7.8501,2.109,2.78,0.58,AkerBP,2.0,0.2561835,8.841546,7.288678162097931,1.9017801868367594,7.151779441052594,9.825500861225251
8812.0,4.3678,4.6324,3.0174,3.233,3.8922,26.5712,8.4675,2.288,2.78,0.58,AkerBP,2.0,0.23495035,9.387972,7.835426297485828,2.05516327905753,7.464702716435447,10.176430111121942
8812.25,4.3667,4.9187,3.5989,4.2339,4.8414,25.351,9.4168,2.5677,2.78,0.58,AkerBP,2.0,0.20766063,10.199975,8.659138021171094,2.2950724619109995,8.045853993170784,10.617577524204558
8812.5,4.3656,5.8781,4.882,6.015,8.0014,24.1308,10.3182,2.8382,2.78,0.58,AkerBP,2.0,0.18585408,10.95193,9.433143908977508,2.533080847985109,8.577621009696376,10.75044577601618
