DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q
7891.75,8.3844,6.1553,5.2715,5.2942,5.5666,6.7534,6.3432,5.3871,2.78,0.58,AkerBP,2.0,0.023463374,6.4647026,6.423584502097219,5.807201066361054,1.2672547310067233,7.798278598152129,0.3612038888215243,2.473129538919241
7892.0,8.3788,6.2493,5.3431,5.3735,5.7125,6.8383,6.374,5.5616,2.78,0.58,AkerBP,2.0,0.019649234,6.4780927,6.443466341178865,5.914901347265026,1.0898390520687946,6.352512716934437,0.36190059631127086,2.4862912560656
7892.25,8.3844,6.3517,5.4131,5.4742,5.8703,7.1663,6.4141,5.8031,2.78,0.58,AkerBP,2.0,0.0154881235,6.496111,6.468597434246913,6.0399686188666,0.8496505237977684,4.0817600742120606,0.3628028321278177,2.5034354864808317
7892.5,8.3887,6.2699,5.4419,5.4744,6.0221,7.4943,6.4456,6.0062,2.78,0.58,AkerBP,2.0,0.012790706,6.518764,6.495831949859857,6.133549416031894,0.7793215505128703,2.120299291263927,0.36350521360639215,2.516907886844881
7892.75,8.3897,6.2387,5.4408,5.404,6.085,8.2904,6.4605,6.1071,2.78,0.58,AkerBP,2.0,0.011671535,6.5361176,6.5150583091098815,6.180280487292708,0.8444905055317978,1.1982853939301503,0.363834617846976,2.523281488587647
7893.0,8.3844,6.1945,5.2878,5.2628,5.6904,9.0865,6.4643,6.136,2.78,0.58,AkerBP,2.0,0.011371955,6.541956,6.521394320428372,6.1939626080539245,0.8832251044718229,0.944631813134361,0.36391187591971846,2.5249029881318927
7893.25,8.3852,6.4375,5.2084,5.209,5.6586,10.0555,6.4599,6.1349,2.78,0.58,AkerBP,2.0,0.011353019,6.5396657,6.5191503324732185,6.192458114668964,0.9172020073564345,0.938207870853059,0.36374288895820134,2.5229753419797976
7893.5,8.3806,6.2714,5.3314,5.232,5.7312,11.0245,6.4307,6.0995,2.78,0.58,AkerBP,2.0,0.011541622,6.520265,6.4995231244433675,6.169840366332052,1.0702275715453635,1.1532152853848947,0.362684173380302,2.510228808250112
7893.75,8.3742,6.2588,5.4071,5.4717,5.8542,11.3849,6.3302,5.9776,2.78,0.58,AkerBP,2.0,0.012229297,6.4536963,6.432134036719799,6.091615194011708,1.610281455875006,1.9073740968232773,0.3589606087182308,2.466394975969566
7894.0,8.3744,6.2718,5.2279,5.2887,5.6085,11.7454,6.1277,5.7348,2.78,0.58,AkerBP,2.0,0.013776887,6.319874,6.296517504733056,5.932501302521526,2.7549897144614786,3.4473966401884355,0.351052058918719,2.3782510293365355
7894.25,8.3767,5.8043,4.9903,5.0482,5.3173,10.6594,5.8859,5.4504,2.78,0.58,AkerBP,2.0,0.015946291,6.15776,6.132023252537474,5.737348456845554,4.181573804133156,5.264722898237817,0.34082245638858427,2.2733390433733836
7894.5,8.3757,5.6618,4.9248,4.9167,5.135,9.5734,5.7105,5.2471,2.78,0.58,AkerBP,2.0,0.017794942,6.0363393,6.008692662641406,5.5898747343959245,5.221831059301392,6.5326510719430715,0.3328033439705403,2.1974926464449704
7894.75,8.3785,5.0845,4.826,4.9591,5.1932,8.5539,5.6329,5.1494,2.78,0.58,AkerBP,2.0,0.018883733,5.9801493,5.951339165866375,5.517653182754194,5.653201119607565,7.151380408478544,0.3291108538530079,2.164026534812889
7895.0,8.3783,4.707,4.3975,4.4488,4.5634,7.5345,5.62,5.0837,2.78,0.58,AkerBP,2.0,0.020203587,5.9656887,5.935029107369482,5.476286134596553,5.605500131129577,7.722448897388756,0.32867392962220465,2.1585566009692996
7895.25,8.3859,4.31,3.8937,4.0444,4.0103,6.6772,5.6493,4.9436,2.78,0.58,AkerBP,2.0,0.024365477,5.977722,5.940679827928543,5.396003774269352,5.157804116059382,9.151302173908732,0.33077659529285464,2.1715142009853055
7895.5,8.3903,4.0902,3.7842,3.819,3.7876,5.8199,5.7206,4.6783,2.78,0.58,AkerBP,2.0,0.03559347,6.02159,5.966901398524642,5.198714643267272,4.305516878031003,11.124011783495543,0.3356094176265457,2.202999234739614
7895.75,8.3831,4.5738,4.0048,3.9806,4.1499,5.6394,5.8153,4.3772,2.78,0.58,AkerBP,2.0,0.055609383,6.0724854,5.985906050466001,4.861808086631697,2.9337446127629083,11.071189039378988,0.3418119736334566,2.24489988761174
7896.0,8.3841,5.274,4.5069,4.4054,4.557,5.4589,5.8916,4.1691,2.78,0.58,AkerBP,2.0,0.07577663,6.119365,5.99984166495502,4.560432467794243,1.8372201940902217,9.386497512514516,0.34663383105632545,2.278722470835839
