DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q,Rv_sim_q,Rh_sim_q
9720.0,12.8824,1.5269,1.1963,1.1103,1.1101,86.3898,3.8097,0.8607,2.813,0.775,Chevron,1.0,0.9497542,5.9146633,4.207254228770733,1.2717797557036692,10.435315871872668,47.76109628252227,0.6365906582415154,1.4579561302538295,2.3205643992416745,1.0706667500015437
9720.25,12.8969,1.5301,1.2093,1.1268,1.1215,87.6158,3.8877,0.8783,2.813,0.775,Chevron,1.0,0.9471466,6.0506506,4.272736388981342,1.2770105841787982,9.903963499790162,45.39571720127499,0.6252927628382245,1.4912448895101078,2.3177287943438754,1.058100802272146
9720.5,12.9115,1.5334,1.2223,1.1433,1.1328,88.8418,3.9521,0.8921,2.813,0.775,Chevron,1.0,0.9450925,6.1636295,4.327223199546337,1.2812001358248726,9.491743618489831,43.616201751470975,1.0,0.8586619089373668,2.813,1.2903225806451613
9720.75,12.837,1.5219,1.2123,1.1382,1.1203,90.0982,3.9985,0.9017,2.813,0.775,Chevron,1.0,0.9436536,6.2452602,4.3666604802012445,1.2841565510227269,9.20746480433274,42.41505500972906,0.6148150509260093,1.539308578424852,2.322393234644598,1.0435421880557982
9721.0,12.7624,1.5104,1.2023,1.1331,1.1078,91.3546,4.0274,0.9076,2.813,0.775,Chevron,1.0,0.94275695,6.296026,4.391250946164131,1.2859856086711752,9.034388095648092,41.69078984918193,0.6127945605240747,1.5519484581809155,2.3247139835481483,1.0401989853969633
9721.25,12.6588,1.5034,1.1971,1.1288,1.1,91.685,4.0429,0.9109,2.813,0.775,Chevron,1.0,0.9422287,6.322795,4.404336585044861,1.2870003197656752,8.940032774613787,41.288870322282925,0.6116651685332306,1.5587064641050117,2.3259141311283615,1.0383845466521038
9721.5,12.5553,1.4963,1.1919,1.1246,1.0923,92.0154,4.049,0.9125,2.813,0.775,Chevron,1.0,0.9419306,6.332497,4.409276455461979,1.2874708032410975,8.897911964978489,41.092690766147705,0.6109791143034675,1.561302578022113,2.3260635602780964,1.0375244614225163
9721.75,12.6807,1.5143,1.2071,1.1374,1.1041,93.2025,4.0484,0.9134,2.813,0.775,Chevron,1.0,0.94164795,6.328682,4.408058506965637,1.2876727899305584,8.88396667734505,40.97578168716427,0.6101499760387411,1.5608189330013722,2.3248371810267505,1.037063033214404
9722.0,12.8061,1.5322,1.2223,1.1501,1.116,94.3896,4.0416,0.9141,2.813,0.775,Chevron,1.0,0.94124687,6.311145,4.400825297951698,1.287730662192598,8.888195218519853,40.87415624030173,0.6087943974627229,1.557389019692968,2.3217979498965664,1.036734403628487
9722.25,12.8224,1.5464,1.231,1.1555,1.1215,93.5331,4.0272,0.9151,2.813,0.775,Chevron,1.0,0.94053537,6.275281,4.385816728293896,1.2877370804099944,8.904865124500793,40.72091360616264,0.6063015734182713,1.5502337724873665,2.315850923087731,1.036285293159921
9722.5,12.8388,1.5605,1.2398,1.1608,1.127,92.6767,4.0035,0.9165,2.813,0.775,Chevron,1.0,0.939423,6.21682,4.361211841583252,1.2876825252102553,8.93497793388915,40.50000275070981,0.6023181256809468,1.5385216271186493,2.3061630518934475,1.0356678008679618
9722.75,12.8279,1.5829,1.2465,1.1666,1.1363,91.8913,3.9696,0.9185,2.813,0.775,Chevron,1.0,0.93780065,6.1330047,4.325866260111332,1.2875882638906664,8.974865480434609,40.18380662935944,0.5964225833215206,1.521795445219844,2.2918990013783387,1.034775729388485
9723.0,12.817,1.6053,1.2532,1.1724,1.1457,91.1058,3.9273,0.9212,2.813,0.775,Chevron,1.0,0.93565804,6.027547,4.281362704336644,1.2874926817331789,9.01542291998686,39.76255772179533,0.5885378346319746,1.500930075300087,2.273132867668712,1.0335417884321225
9723.25,12.7516,1.6137,1.2797,1.1902,1.1661,88.951,3.8808,0.9241,2.813,0.775,Chevron,1.0,0.9332412,5.911413,4.232175628006458,1.2873408459759013,9.054206040158173,39.30752580628733,0.5794418647691522,1.47807128149348,2.2515848674787926,1.032198622814774
9723.5,12.6861,1.622,1.3062,1.2079,1.1866,86.7962,3.8364,0.9272,2.813,0.775,Chevron,1.0,0.93074495,5.7992897,4.184663172125816,1.2872428162952654,9.07786393821855,38.83119243909247,1.0,0.819333824267515,2.813,1.2903225806451613
9723.75,12.6062,1.6389,1.3315,1.2313,1.2116,87.3432,3.8013,0.9301,2.813,0.775,Chevron,1.0,0.9285667,5.7092433,4.146556005120278,1.2872483805862225,9.082577147825164,38.39892275951212,1.0,0.8157863998112306,2.813,1.2903225806451613
