DEPTH,Rv,Rh,Csh_pred,Rss_pred,fun,nfev,jac_norm,Rv_sim,Rh_sim
6292.75,1.4184,0.6011,0.37128951182839526,0.614297544254231,7.743339329801581e-06,132,6.133163252096939,1.4184001518136342,0.601099960925672
6293.0,1.4186,0.6011,0.37138027708333876,0.6143027294734893,7.726412405135934e-06,132,4.522817448104168,1.4185999818802553,0.6010999249177273
6293.25,1.418,0.6008,0.37125006938913735,0.6137970368606431,7.755622290062287e-06,132,4.185587771225787,1.4180000372370842,0.600799919482446
6293.5,1.4158,0.5997,0.3707717742848112,0.6119475840609881,7.820176169716777e-06,132,6.5744141036493104,1.415800225061167,0.599699991346146
6293.75,1.4111,0.5975,0.36967494945817025,0.6082637017001018,7.864436968446359e-06,132,6.392613606793765,1.4111002080105903,0.5975000651095207
6294.0,1.4051,0.5947,0.3682635014087707,0.6036182648242175,7.882118065765908e-06,132,6.243476940037588,1.405100223022147,0.5947000759391458
6294.25,1.4005,0.5925,0.3672008362884165,0.6000037958366389,7.870924662566426e-06,132,6.346380299152617,1.4005002251109984,0.5925000780262465
6294.5,1.3983,0.5914,0.36671314278048656,0.5982086789430489,7.850247825963162e-06,132,6.528613136383579,1.398300231179033,0.5914000715393104
6294.75,1.3977,0.5912,0.3665334626164498,0.5978803701900721,7.820927830969329e-06,132,6.735984493316405,1.3977002339476305,0.5912000602608898
6295.0,1.3976,0.5911,0.3665344852392158,0.5977189702806446,7.81408184193018e-06,132,6.785862070573306,1.3976002241561343,0.591100062462287
6295.25,1.3976,0.5911,0.36653447531258543,0.5977189800179256,7.816602895745996e-06,132,6.795654783825533,1.397600208661669,0.5911000686719367
6295.5,1.3981,0.5911,0.3667617171711401,0.5977254812929058,7.7783926314508e-06,132,7.238005354394881,1.3981002311127428,0.5911000367001866
6295.75,1.401,0.5912,0.3680331037317293,0.5979240528213383,7.770797195800379e-06,132,7.205958840591893,1.4010002362398541,0.5912000242684073
6296.0,1.411,0.5914,0.37248438358932184,0.5983812260745001,7.713800807897495e-06,132,5.149719092900524,1.4110001503070317,0.5913999337372704
6296.25,1.4326,0.5918,0.38211339517199033,0.5993406719683843,7.684618676123147e-06,132,6.89480889583198,1.432599811516016,0.5917999873130815
6296.5,1.4614,0.5924,0.3949201064599044,0.6007833118728669,8.065651970311729e-06,117,4.863852983172236,1.4613997983472344,0.5924000869193141
6296.75,1.4846,0.5929,0.4052280424239035,0.6020227262676722,7.828271814298957e-06,141,6.7394518636815475,1.4846001933459736,0.5929000127165486
6297.0,1.4959,0.5931,0.4102686599982503,0.6025681401121287,7.84992427205303e-06,141,6.652794180984148,1.4959001915058234,0.5931000135894711
6297.25,1.4989,0.5931,0.4116317509558712,0.6026224642249826,7.855401538947656e-06,141,6.606985372619877,1.4989001917680331,0.5931000138704651
6297.5,1.4976,0.5928,0.4111817404082848,0.6020787394965496,7.852770445375973e-06,141,6.58503145597181,1.4976001938625636,0.5928000144043706
6297.75,1.4867,0.5907,0.4072103888459372,0.5982819415186519,7.807298041705507e-06,141,6.51382577197798,1.4867002004650445,0.590700004970006
6298.0,1.45,0.5838,0.39371980894321207,0.5862944926403245,7.6264461817488585e-06,132,6.608298355090987,1.449999805875648,0.5837999893281276
6298.25,1.3779,0.5695,0.3674049607766755,0.563574326378637,7.247781011631812e-06,138,5.103305941194243,1.3779001140599105,0.5694999477790537
6298.5,1.2952,0.5523,0.3373829885146749,0.5391885211754405,7.03238232962584e-06,135,8.089901946201946,1.2952001945992584,0.5523000273547226
6298.75,1.2374,0.5395,0.3166502061221829,0.5225906682946685,6.821887822431426e-06,132,8.20831657095991,1.2373997984813008,0.5394999709875323
6299.0,1.2118,0.5337,0.3075068147405555,0.515428931336676,6.679690767261923e-06,129,6.057652072106846,1.2117999674149507,0.5336999119347302
6299.25,1.2039,0.532,0.3046456844538748,0.5133856096010287,6.749090181512521e-06,129,6.991185403832999,1.2038999019571255,0.5319999071248922
6299.5,1.1985,0.5314,0.3024527008251885,0.5127699800666103,6.629462393519856e-06,123,6.435593992235405,1.19849982298741,0.5314000419643705
6299.75,1.1842,0.5304,0.29639774839541483,0.5119569711663424,6.770837359023513e-06,135,5.48552353816738,1.1841998181765554,0.5304000798150839
6300.0,1.1551,0.5284,0.28406394461634865,0.510383803781588,6.4827145697112345e-06,135,6.775269740195556,1.1550999332445429,0.5283999190751875
6300.25,1.1198,0.5259,0.2691378364221661,0.5084361015865527,6.688751380932094e-06,135,5.115678684772366,1.119799894500249,0.5259001134747985
6300.5,1.0939,0.524,0.2582176532426979,0.5069611464331639,6.631007656694863e-06,135,5.2800785562372585,1.0938999049306648,0.5240001135647689
6300.75,1.0835,0.5238,0.2535948211736878,0.5071056794158914,6.593577923398831e-06,135,5.280195626103908,1.083499908191109,0.5238001121359801
6301.0,1.0889,0.5276,0.2544239301657042,0.5118208615039254,6.617107337514078e-06,135,5.207715557747553,1.0888999122399576,0.5276001112916929
6301.25,1.12,0.5425,0.2621172116287344,0.5303200716694769,6.740104941048169e-06,135,5.00494745126999,1.1199999015406046,0.5425001008760223
6301.5,1.1935,0.577,0.28022442864384756,0.5758404912682797,7.106777900135765e-06,135,6.007250399716272,1.1934998302425297,0.577000058398817
6301.75,1.3033,0.6284,0.3059325200970845,0.6523970255735991,8.187029814104044e-06,129,4.017408635483443,1.3032999653059207,0.6284001524153013
6302.0,1.404,0.6751,0.3275658213589107,0.7337030897905714,8.612728340075107e-06,126,3.623318396801034,1.404000017927524,0.6750999033313266
